,Subject,Valence,Arousal,nR_S1,nR_S2,bins
0,11113,High,High,20,0,0
1,11113,High,High,3,1,1
2,11113,High,High,6,1,2
3,11113,High,High,9,1,3
4,11113,High,High,2,5,4
5,11113,High,High,8,10,5
6,11113,High,High,3,4,6
7,11113,High,High,5,5,7
8,11113,High,High,4,9,8
9,11113,High,High,6,5,9
10,11113,High,High,0,5,10
11,11113,High,High,1,2,11
12,11113,High,High,0,3,12
13,11113,High,High,0,14,13
14,11113,High,Low,14,0,0
15,11113,High,Low,6,0,1
16,11113,High,Low,4,1,2
17,11113,High,Low,7,2,3
18,11113,High,Low,7,4,4
19,11113,High,Low,10,7,5
20,11113,High,Low,7,9,6
21,11113,High,Low,5,7,7
22,11113,High,Low,0,5,8
23,11113,High,Low,3,6,9
24,11113,High,Low,1,2,10
25,11113,High,Low,0,5,11
26,11113,High,Low,1,4,12
27,11113,High,Low,0,15,13
28,11113,Low,High,9,0,0
29,11113,Low,High,4,0,1
30,11113,Low,High,3,0,2
31,11113,Low,High,5,4,3
32,11113,Low,High,7,2,4
33,11113,Low,High,13,6,5
34,11113,Low,High,7,12,6
35,11113,Low,High,4,7,7
36,11113,Low,High,5,11,8
37,11113,Low,High,3,4,9
38,11113,Low,High,2,4,10
39,11113,Low,High,1,3,11
40,11113,Low,High,0,3,12
41,11113,Low,High,0,12,13
42,11113,Low,Low,8,0,0
43,11113,Low,Low,5,0,1
44,11113,Low,Low,1,1,2
45,11113,Low,Low,4,3,3
46,11113,Low,Low,10,2,4
47,11113,Low,Low,13,9,5
48,11113,Low,Low,9,5,6
49,11113,Low,Low,5,2,7
50,11113,Low,Low,5,10,8
51,11113,Low,Low,5,9,9
52,11113,Low,Low,2,8,10
53,11113,Low,Low,1,4,11
54,11113,Low,Low,0,3,12
55,11113,Low,Low,1,10,13
56,11114,High,High,19,1,0
57,11114,High,High,6,0,1
58,11114,High,High,2,2,2
59,11114,High,High,3,1,3
60,11114,High,High,6,0,4
61,11114,High,High,8,7,5
62,11114,High,High,14,13,6
63,11114,High,High,5,14,7
64,11114,High,High,2,4,8
65,11114,High,High,3,2,9
66,11114,High,High,1,3,10
67,11114,High,High,1,4,11
68,11114,High,High,1,0,12
69,11114,High,High,1,18,13
70,11114,High,Low,27,1,0
71,11114,High,Low,1,0,1
72,11114,High,Low,3,0,2
73,11114,High,Low,4,2,3
74,11114,High,Low,5,1,4
75,11114,High,Low,5,2,5
76,11114,High,Low,15,11,6
77,11114,High,Low,6,7,7
78,11114,High,Low,4,7,8
79,11114,High,Low,2,6,9
80,11114,High,Low,1,4,10
81,11114,High,Low,0,1,11
82,11114,High,Low,0,0,12
83,11114,High,Low,0,29,13
84,11114,Low,High,15,0,0
85,11114,Low,High,3,0,1
86,11114,Low,High,1,0,2
87,11114,Low,High,4,0,3
88,11114,Low,High,9,1,4
89,11114,Low,High,8,3,5
90,11114,Low,High,23,10,6
91,11114,Low,High,5,17,7
92,11114,Low,High,2,4,8
93,11114,Low,High,3,4,9
94,11114,Low,High,0,6,10
95,11114,Low,High,0,3,11
96,11114,Low,High,0,2,12
