,Subject,Valence,Arousal,LearningTime,nR_S1,nR_S2,bins
0,11113,High,High,30,4,0,0
1,11113,High,High,30,1,0,1
2,11113,High,High,30,1,0,2
3,11113,High,High,30,3,0,3
4,11113,High,High,30,2,1,4
5,11113,High,High,30,3,5,5
6,11113,High,High,30,2,3,6
7,11113,High,High,30,2,0,7
8,11113,High,High,30,1,5,8
9,11113,High,High,30,2,2,9
10,11113,High,High,30,0,2,10
11,11113,High,High,30,0,0,11
12,11113,High,High,30,0,1,12
13,11113,High,High,30,0,2,13
14,11113,High,High,60,7,0,0
15,11113,High,High,60,0,1,1
16,11113,High,High,60,3,1,2
17,11113,High,High,60,2,0,3
18,11113,High,High,60,0,2,4
19,11113,High,High,60,3,2,5
20,11113,High,High,60,0,0,6
21,11113,High,High,60,3,3,7
22,11113,High,High,60,3,1,8
23,11113,High,High,60,2,3,9
24,11113,High,High,60,0,1,10
25,11113,High,High,60,0,0,11
26,11113,High,High,60,0,1,12
27,11113,High,High,60,0,7,13
28,11113,High,High,90,9,0,0
29,11113,High,High,90,2,0,1
30,11113,High,High,90,2,0,2
31,11113,High,High,90,4,1,3
32,11113,High,High,90,0,2,4
33,11113,High,High,90,2,3,5
34,11113,High,High,90,1,1,6
35,11113,High,High,90,0,2,7
36,11113,High,High,90,0,3,8
37,11113,High,High,90,2,0,9
38,11113,High,High,90,0,2,10
39,11113,High,High,90,1,2,11
40,11113,High,High,90,0,1,12
41,11113,High,High,90,0,5,13
42,11113,High,Low,30,3,0,0
43,11113,High,Low,30,0,0,1
44,11113,High,Low,30,1,0,2
45,11113,High,Low,30,2,0,3
46,11113,High,Low,30,3,2,4
47,11113,High,Low,30,2,3,5
48,11113,High,Low,30,5,6,6
49,11113,High,Low,30,3,4,7
50,11113,High,Low,30,0,1,8
51,11113,High,Low,30,2,4,9
52,11113,High,Low,30,0,0,10
53,11113,High,Low,30,0,0,11
54,11113,High,Low,30,0,1,12
55,11113,High,Low,30,0,2,13
56,11113,High,Low,60,5,0,0
57,11113,High,Low,60,0,0,1
58,11113,High,Low,60,1,0,2
