"Subject"	"Valence"	"Arousal"	"MetadPrime"	"dPrime"	"HR"	"FAR"	"Mratio"	"Criterion"
"1"	"11113"	"High"	"High"	"1.77242712839165"	"1.10779637078802"	"0.639277389277389"	"0.278846153846154"	"1.59995751487329"	"0.143914863206674"
"2"	"11113"	"High"	"Low"	"1.5153750136368"	"1.39546018261224"	"0.656674208144796"	"0.286130536130536"	"1.08593210506378"	"0.300471080846769"
"3"	"11113"	"Low"	"High"	"1.25152698772799"	"1.07094475647559"	"0.631549609810479"	"0.3515625"	"1.1686195577881"	"0.163810924145426"
"4"	"11113"	"Low"	"Low"	"0.96479281658742"	"1.09439636363196"	"0.649253731343284"	"0.382967032967033"	"0.881575312792132"	"0.0398924229888892"
"5"	"11114"	"High"	"High"	"1.24277485293646"	"1.23184485569687"	"0.64010989010989"	"0.313487881981033"	"1.00887286835598"	"0.230601961440867"
"6"	"11114"	"High"	"Low"	"1.82021199389528"	"1.60264154695194"	"0.725961538461538"	"0.272869022869023"	"1.13575739837591"	"0.104813351896953"
"7"	"11114"	"Low"	"High"	"1.19638974660603"	"1.90852862374362"	"0.707799145299145"	"0.327962577962578"	"0.626864974264459"	"0.117593762630438"
"8"	"11114"	"Low"	"Low"	"1.54577872639797"	"1.11377902209678"	"0.645641025641026"	"0.323804573804574"	"1.38786841530551"	"0.251408722948991"
"9"	"11115"	"High"	"High"	"1.51465217365333"	"1.20838894726361"	"0.626012145748988"	"0.284303534303534"	"1.25344755683446"	"0.354251667378982"
"10"	"11115"	"High"	"Low"	"1.44690373684202"	"1.18664768246567"	"0.672813487881981"	"0.343555093555094"	"1.21932040842618"	"0.168867277551615"
"11"	"11115"	"Low"	"High"	"0.747833759040864"	"1.04853712560023"	"0.603430353430353"	"0.375897435897436"	"0.71321629037481"	"0.160748215674986"
"12"	"11115"	"Low"	"Low"	"0.998651550700762"	"0.984040232480712"	"0.639487179487179"	"0.388205128205128"	"1.01484829353289"	"0.151325289152561"
"13"	"11116"	"High"	"High"	"1.54554095112444"	"1.61458398123927"	"0.671282051282051"	"0.209459459459459"	"0.95723788237894"	"0.46659716353184"
"14"	"11116"	"High"	"Low"	"2.00762525489015"	"1.49587574186009"	"0.653326403326403"	"0.174116424116424"	"1.34210696698223"	"0.525951283221427"
"15"	"11116"	"Low"	"High"	"1.46405594413521"	"1.44237076945897"	"0.65956340956341"	"0.232287449392713"	"1.01503439693552"	"0.429163995646523"
"16"	"11116"	"Low"	"Low"	"1.43989357623088"	"1.23269995904414"	"0.655897435897436"	"0.306174089068826"	"1.16808114226547"	"0.41445650038022"
"17"	"11117"	"High"	"High"	"0.80007571777021"	"1.10423377321253"	"0.564278187565859"	"0.338777660695469"	"0.724552841236293"	"0.344613103343177"
"18"	"11117"	"High"	"Low"	"1.27087899800969"	"1.11840439468856"	"0.596153846153846"	"0.338777660695469"	"1.13633226411238"	"0.28732219194502"
"19"	"11117"	"Low"	"High"	"0.728771825689776"	"1.28390028862043"	"0.591675447839831"	"0.341938883034773"	"0.567623383333648"	"0.254779845639226"
"20"	"11117"	"Low"	"Low"	"1.09098151805185"	"1.20168822366135"	"0.626923076923077"	"0.386133603238866"	"0.907874019708544"	"0.137136360373494"
"21"	"11118"	"High"	"High"	"2.01409906653282"	"1.61958172568369"	"0.734871794871795"	"0.254554655870445"	"1.24359211677484"	"0.166445457448927"
"22"	"11118"	"High"	"Low"	"2.62657007178792"	"1.31900296079784"	"0.728717948717949"	"0.222972972972973"	"1.9913299286297"	"0.354020692299521"
"23"	"11118"	"Low"	"High"	"1.70656193110117"	"1.31399740332302"	"0.68970893970894"	"0.322765072765073"	"1.29875593877535"	"0.105192417122938"
"24"	"11118"	"Low"	"Low"	"1.60003268413759"	"1.68251652079195"	"0.66754478398314"	"0.27025641025641"	"0.950975912785964"	"0.301032132318995"
"25"	"11119"	"High"	"High"	"3.08752681340822"	"1.72063725979523"	"0.795738045738046"	"0.179313929313929"	"1.79440890044172"	"0.0981275111131678"
"26"	"11119"	"High"	"Low"	"2.95234627932864"	"2.04608236834016"	"0.840512820512821"	"0.211538461538462"	"1.44292640658629"	"0.250847969981395"
"27"	"11119"	"Low"	"High"	"2.56207636922468"	"1.60911305561977"	"0.731288981288981"	"0.191282051282051"	"1.59222893647946"	"0.476995037734717"
"28"	"11119"	"Low"	"Low"	"2.30590689506168"	"1.81864444291417"	"0.693846153846154"	"0.176195426195426"	"1.26792617657948"	"0.638680581681249"
"29"	"11120"	"High"	"High"	"1.28917147401458"	"1.48721485376434"	"0.716410256410256"	"0.327186512118019"	"0.866836066592201"	"-0.122070757574206"
