,Accuracy,Arousal,Confidence,Confidence_RT,Expected,KeyPressed,LearningTime,LeftWord,MarkerStart,RT,RightWord,TrialNumber,Valence,nBlock
0,1.0,High,7.0,1.542,right,right,90.0,bolt,2.0,1.9695213164377492,dragon,0.0,High,0.0
1,1.0,High,7.0,1.377,left,left,90.0,fuck,4.0,0.7798655522055924,body,1.0,High,0.0
2,1.0,High,7.0,1.71,left,left,90.0,zealous,1.0,1.5166593684407417,dare,2.0,High,0.0
3,1.0,High,7.0,1.693,right,right,90.0,lotion,3.0,1.1055304528563283,nudist,3.0,High,0.0
4,1.0,High,2.0,0.993,right,right,90.0,alcohol,2.0,1.358741432602983,night,4.0,High,0.0
5,0.0,High,3.0,0.973,right,left,90.0,rare,4.0,1.99344378519163,drunk,5.0,High,0.0
6,1.0,High,4.0,1.456,left,left,90.0,chest,6.0,2.1398751120868837,spice,6.0,High,0.0
7,1.0,High,2.0,0.977,right,right,90.0,important,1.0,1.4293998290231684,duet,7.0,High,0.0
8,1.0,High,7.0,1.11,left,left,90.0,extreme,5.0,0.8705650432530092,boost,8.0,High,0.0
9,1.0,High,4.0,0.844,right,right,90.0,sports,5.0,1.265896102107945,try,9.0,High,0.0
10,1.0,High,4.0,1.326,right,right,90.0,bikini,2.0,1.0603462407743791,cheerleader,10.0,High,0.0
11,1.0,High,2.0,2.726,left,left,90.0,astonished,5.0,1.145327770645963,zoom,11.0,High,0.0
12,0.0,High,2.0,1.407,left,right,90.0,mountain,5.0,2.030035977863008,interested,12.0,High,0.0
13,1.0,High,7.0,2.292,right,right,90.0,clothes,1.0,1.2586678087245673,mingle,13.0,High,0.0
14,1.0,High,7.0,1.527,left,left,90.0,attain,2.0,1.3908956609957386,brain,14.0,High,0.0
15,NaN,High,Nan,Nan,left,NaN,90.0,curiosity,NaN,Nan,restaurant,15.0,High,0.0
16,False,High,1,2.176,right,left,90.0,zest,5,1.426954682014184,sing,16.0,High,0.0
17,True,High,2,1.203,right,right,90.0,penthouse,5,2.0457372734090313,outgoing,17.0,High,0.0
18,True,High,2,0.791,right,right,90.0,perfect,3,1.8595224232121836,mail,18.0,High,0.0
19,True,High,2,0.792,left,left,90.0,firefighter,2,1.5280263185268268,special,19.0,High,0.0
20,True,High,7,1.421,right,right,90.0,cartoon,2,2.5372512788017048,climax,20.0,High,0.0
21,False,High,2,0.642,right,left,90.0,spirit,2,1.7244926929561188,game,21.0,High,0.0
22,True,High,3,0.806,left,left,90.0,doughnut,2,2.2701787985715782,attract,22.0,High,0.0
23,True,High,2,1.17,right,right,90.0,rhythm,5,2.7571515416930197,earn,23.0,High,0.0
24,False,High,2,1.41,left,right,90.0,model,6,1.5256395573669579,explore,24.0,High,0.0
25,NaN,High,Nan,Nan,left,NaN,90.0,charisma,NaN,Nan,actor,25.0,High,0.0
26,True,High,1,1.41,right,right,90.0,midnight,3,-2.457174478971865,inspired,26.0,High,0.0
27,False,High,2,0.691,right,left,90.0,adore,2,1.8309204268589383,gourmet,27.0,High,0.0
28,False,High,1,1.153,right,left,90.0,energetic,2,2.577270270237932,energy,28.0,High,0.0
29,True,High,2,1.308,right,right,90.0,dazzle,3,1.7779721833358053,life,29.0,High,0.0
30,True,High,1,1.887,left,left,90.0,impressed,6,2.5540089728165185,wonderful,30.0,High,0.0
31,False,High,1,1.193,right,left,90.0,best,2,1.1406918720167596,brownie,31.0,High,0.0
32,True,High,4,1.509,right,right,90.0,stunning,6,1.383333413526998,festival,32.0,High,0.0
33,True,High,7,1.492,right,right,90.0,appreciative,5,1.3621339056408033,sister,33.0,High,0.0
34,True,High,2,1.257,left,left,90.0,personality,5,1.9985653768817428,eat,34.0,High,0.0
35,False,High,1,1.823,right,left,90.0,like,6,2.08101065219671,bright,35.0,High,0.0
36,True,High,7,1.491,left,left,90.0,puppy,2,1.8461434077762533,talent,36.0,High,0.0
37,False,High,1,0.723,left,right,90.0,magnificence,1,1.9456081509124488,cookie,37.0,High,0.0
38,True,High,7,1.41,left,left,90.0,cheeseburger,2,1.3852537297207164,ambitious,38.0,High,0.0
39,True,High,7,1.622,right,right,90.0,cruiseship,1,2.288629681483144,birth,39.0,High,0.0
40,True,High,7,0.826,right,right,90.0,satisfaction,6,1.4732395631435793,kissing,40.0,High,0.0
41,True,High,2,0.775,left,left,90.0,progress,3,1.7243646932620322,pretty,41.0,High,0.0
42,False,High,3,1.373,left,right,90.0,accomplish,6,2.0711245206039166,justice,42.0,High,0.0
43,True,High,1,1.608,left,left,90.0,diamond,5,1.7098850087932078,smiling,43.0,High,0.0
44,True,High,1,1.438,left,left,90.0,diploma,5,2.2896543206297792,engaged,44.0,High,0.0
45,True,High,7,1.227,left,left,90.0,sex,5,1.2440524253470358,giggle,45.0,High,0.0
46,True,High,7,0.993,left,left,90.0,god,6,0.8562662906770129,joke,46.0,High,0.0
47,True,High,1,1.493,left,left,90.0,enjoy,5,1.4421349963668035,enthusiastic,47.0,High,0.0
48,False,High,2,0.766,left,right,90.0,excellence,3,2.5079072692024056,affection,48.0,High,0.0
49,True,High,7,1.524,right,right,90.0,funny,3,1.726775514529436,ecstatic,49.0,High,0.0
50,True,Low,1,0.892,left,left,90.0,roof,3,1.9381373318028636,lamp,0.0,High,1.0
51,True,Low,5,0.993,left,left,90.0,greyhound,5,1.010507844388485,herring,1.0,High,1.0
52,True,Low,2,0.81,right,right,90.0,propeller,3,1.2612656571145635,lad,2.0,High,1.0
53,False,Low,2,1.156,left,right,90.0,pulpit,3,2.1973906027706107,ceiling,3.0,High,1.0
54,True,Low,5,0.91,right,right,90.0,introductory,6,1.2770327169127995,pan,4.0,High,1.0
55,True,Low,5,0.943,right,right,90.0,website,6,1.1885483583755558,delicate,5.0,High,1.0
56,True,Low,5,1.41,right,right,90.0,flock,1,1.490749856835464,cabin,6.0,High,1.0
57,True,Low,1,1.241,left,left,90.0,wear,1,1.8047555574739818,newspaper,7.0,High,1.0
58,True,Low,3,0.803,left,left,90.0,bathroom,3,2.6218982129794313,native,8.0,High,1.0
59,True,Low,3,1.159,left,left,90.0,hair,3,1.3902441137033748,brief,9.0,High,1.0
60,True,Low,5,1.976,left,left,90.0,cow,4,1.1963589060032973,rock,10.0,High,1.0
61,True,Low,7,1.46,left,left,90.0,urinate,3,0.9536788683471968,verify,11.0,High,1.0
62,True,Low,1,1.153,right,right,90.0,fitting,2,2.42979184811702,bedspread,12.0,High,1.0
63,False,Low,3,1.289,right,left,90.0,fig,2,2.2294755381008144,lightbulb,13.0,High,1.0
64,True,Low,2,0.857,left,left,90.0,phone,1,1.9577684424584731,jelly,14.0,High,1.0
65,False,Low,2,0.634,left,right,90.0,circle,2,2.9962244902853854,key,15.0,High,1.0
66,True,Low,2,0.926,right,right,90.0,clarinet,1,1.61971066937258,oven,16.0,High,1.0
67,False,Low,2,0.493,left,right,90.0,tolerant,2,1.3600567176617915,flute,17.0,High,1.0
68,True,Low,3,0.47,right,right,90.0,sympathetic,3,2.559314062804333,mobile,18.0,High,1.0
69,False,Low,2,0.79,left,right,90.0,flow,2,1.994113297376316,western,19.0,High,1.0
70,True,Low,2,0.407,right,right,90.0,consoled,2,1.9566081043885788,stable,20.0,High,1.0
71,True,Low,4,2.055,left,left,90.0,patio,6,2.445096633353387,velvet,21.0,High,1.0
72,True,Low,3,1.023,left,left,90.0,poetry,4,2.121530093558249,humble,22.0,High,1.0
73,True,Low,4,0.839,left,left,90.0,herbal,3,2.197046703848173,horse,23.0,High,1.0
74,True,Low,2,0.571,right,right,90.0,furniture,2,2.404121975036105,proper,24.0,High,1.0
75,False,Low,3,1.224,right,left,90.0,patience,4,1.963163035994512,reflection,25.0,High,1.0
76,True,Low,2,0.704,left,left,90.0,camera,3,2.4116944881534437,shrimp,26.0,High,1.0
77,True,Low,2,0.824,right,right,90.0,candid,2,1.9405478322587442,coin,27.0,High,1.0
78,NaN,Low,Nan,Nan,right,NaN,90.0,practical,NaN,Nan,rational,28.0,High,1.0
79,True,Low,6,0.841,right,right,90.0,leaves,6,1.756724234452122,doll,29.0,High,1.0
80,NaN,Low,Nan,Nan,right,NaN,90.0,open,NaN,Nan,grass,30.0,High,1.0
81,True,Low,2,1.527,right,right,90.0,afternoon,1,-3.0030139275913825,binoculars,31.0,High,1.0
82,NaN,Low,Nan,Nan,right,NaN,90.0,hamburger,NaN,Nan,rose,32.0,High,1.0
83,True,Low,3,1.206,left,left,90.0,familiar,1,2.2082230980158783,precise,33.0,High,1.0
84,True,Low,2,1.241,right,right,90.0,tree,5,1.8735398330754833,autumn,34.0,High,1.0
85,False,Low,1,1.31,right,left,90.0,dress,2,1.4891824220103445,apple,35.0,High,1.0
86,True,Low,4,1.158,right,right,90.0,cottage,4,1.7625493432424264,countryside,36.0,High,1.0
87,True,Low,3,0.725,right,right,90.0,favor,3,1.776351174688898,nourish,37.0,High,1.0
88,True,Low,7,1.06,left,left,90.0,nice,5,1.528143090181402,cooperative,38.0,High,1.0
89,True,Low,2,0.924,left,left,90.0,responsible,1,1.9993693047726993,crown,39.0,High,1.0
90,True,Low,7,1.324,right,right,90.0,breathe,5,1.813062705405173,honey,40.0,High,1.0
91,True,Low,2,0.773,right,right,90.0,moon,2,1.9271219798538368,graceful,41.0,High,1.0
92,NaN,Low,Nan,Nan,left,NaN,90.0,leisurely,NaN,Nan,caring,42.0,High,1.0
93,False,Low,1,1.877,left,right,90.0,serene,4,-2.6423823341174284,silk,43.0,High,1.0
94,True,Low,2,0.76,right,right,90.0,relaxed,2,1.3706062662095064,haven,44.0,High,1.0
95,True,Low,7,0.826,left,left,90.0,fluffy,6,1.5214697829214856,comfort,45.0,High,1.0
96,True,Low,3,1.006,left,left,90.0,bless,5,2.1935984113806626,protected,46.0,High,1.0
97,True,Low,7,0.76,right,right,90.0,sunflower,6,1.5648369768314296,sky,47.0,High,1.0
98,True,Low,3,1.757,left,left,90.0,kind,6,2.042901390508632,nature,48.0,High,1.0
99,True,Low,1,1.339,left,left,90.0,peace,6,2.0830628176918253,sunset,49.0,High,1.0
100,True,High,4,1.057,left,left,90.0,murderer,5,2.463569330764585,rejected,0.0,Low,2.0
101,True,High,4,0.609,right,right,90.0,syphilis,4,1.5803570196876535,terrorist,1.0,Low,2.0
102,True,High,7,1.176,right,right,90.0,fail,5,1.6804758765501902,rabies,2.0,Low,2.0
103,True,High,7,2.377,left,left,90.0,hurt,5,1.5915372634772211,gunpoint,3.0,Low,2.0
104,False,High,3,0.571,right,left,90.0,mutilation,3,2.3209924307011534,disloyal,4.0,Low,2.0
105,True,High,3,1.025,left,left,90.0,afraid,5,1.7124616843066178,overweight,5.0,Low,2.0
106,True,High,5,1.126,left,left,90.0,assault,4,1.6458793883648468,war,6.0,Low,2.0
107,True,High,5,1.459,left,left,90.0,demon,1,1.632449044729583,trauma,7.0,Low,2.0
108,True,High,1,1.419,right,right,90.0,troubled,2,2.914012116671074,murder,8.0,Low,2.0
109,True,High,7,1.591,right,right,90.0,divorce,3,1.9095128793560434,crushed,9.0,Low,2.0
110,True,High,2,1.557,right,right,90.0,poisonous,6,1.8701624377135886,traffic,10.0,Low,2.0
111,True,High,7,1.21,left,left,90.0,whore,4,1.0611636423127493,crash,11.0,Low,2.0
112,True,High,2,0.86,right,right,90.0,insecure,1,1.429753672782681,anger,12.0,Low,2.0
113,True,High,2,1.237,left,left,90.0,robbery,3,2.5835214030521456,starving,13.0,Low,2.0
114,True,High,1,0.938,right,right,90.0,pollution,1,2.34647431425401,banish,14.0,Low,2.0
115,False,High,1,1.442,right,left,90.0,cult,4,1.7269054390344536,repulsed,15.0,Low,2.0
116,False,High,1,1.358,right,left,90.0,rude,5,1.8029112711956259,burdened,16.0,Low,2.0
117,True,High,2,0.877,left,left,90.0,rash,2,1.0239632105221972,jealousy,17.0,Low,2.0
118,True,High,7,1.726,left,left,90.0,gang,3,0.809190955318627,robber,18.0,Low,2.0
119,True,High,2,1.894,left,left,90.0,frighten,6,1.3975320761092007,destroy,19.0,Low,2.0
120,True,High,2,1.676,left,left,90.0,burn,6,1.5451888637180673,creepy,20.0,Low,2.0
121,True,High,2,1.726,left,left,90.0,fear,6,1.5744231592834694,criticism,21.0,Low,2.0
122,False,High,2,1.359,right,left,90.0,scared,5,1.1513437561661704,expel,22.0,Low,2.0
123,True,High,2,0.768,right,right,90.0,communism,3,2.940672944736434,scold,23.0,Low,2.0
124,True,High,7,1.759,left,left,90.0,paranoid,2,1.626419906358933,psycho,24.0,Low,2.0
125,NaN,High,Nan,Nan,right,NaN,90.0,surgery,NaN,Nan,scorn,25.0,Low,2.0
126,True,High,3,1.104,left,left,90.0,dent,1,2.5570097475429066,difficult,26.0,Low,2.0
127,True,High,4,1.71,right,right,90.0,quarrel,1,1.1931152847391786,wicked,27.0,Low,2.0
128,True,High,3,1.355,right,right,90.0,bitch,1,2.3279175669158576,bothered,28.0,Low,2.0
129,True,High,3,1.358,left,left,90.0,trouble,4,1.8560641859075986,detain,29.0,Low,2.0
130,False,High,2,1.125,left,right,90.0,hazard,3,1.8414693338127108,sever,30.0,Low,2.0
131,False,High,1,1.641,right,left,90.0,forbid,6,1.9626526412321255,irritate,31.0,Low,2.0
132,True,High,1,1.177,right,right,90.0,rattlesnake,4,1.4081948675011517,disruptive,32.0,Low,2.0
133,True,High,7,1.393,right,right,90.0,mob,4,1.4453426878899336,nuclear,33.0,Low,2.0
134,True,High,7,1.526,left,left,90.0,pushy,2,1.3747019355650991,avalanche,34.0,Low,2.0
135,True,High,6,0.476,right,right,90.0,dagger,6,1.6192451867827913,bastard,35.0,Low,2.0
136,True,High,2,1.075,left,left,90.0,emergency,5,1.6379870364326052,frantic,36.0,Low,2.0
137,True,High,7,1.609,left,left,90.0,gossip,2,1.530559685867047,haunt,37.0,Low,2.0
138,True,High,7,1.387,right,right,90.0,anarchy,3,2.378166268070345,spanking,38.0,Low,2.0
139,True,High,2,1.408,right,right,90.0,obsessed,5,1.9547667053266196,scare,39.0,Low,2.0
140,False,High,1,1.391,right,left,90.0,shark,5,1.9147252578113694,officer,40.0,Low,2.0
141,False,High,2,2.509,left,right,90.0,fight,4,1.5621608529472724,forceful,41.0,Low,2.0
142,False,High,2,2.41,left,right,90.0,mangle,5,1.4421937029983383,tangle,42.0,Low,2.0
143,False,High,1,0.859,right,left,90.0,shock,2,1.5738720227673184,baffle,43.0,Low,2.0
144,True,High,1,1.227,left,left,90.0,revolt,3,1.1713851716049248,battle,44.0,Low,2.0
145,True,High,1,1.86,left,left,90.0,chaos,3,1.3732204754487611,police,45.0,Low,2.0
146,False,High,3,1.369,left,right,90.0,vampire,6,2.8519906518486096,pang,46.0,Low,2.0
147,True,High,2,1.239,right,right,90.0,emotional,6,2.2222761168231955,reckless,47.0,Low,2.0
148,True,High,7,0.843,right,right,90.0,clench,6,1.5257685194519581,lava,48.0,Low,2.0
149,True,High,2,1.243,left,left,90.0,lightning,4,1.6107128363801166,speech,49.0,Low,2.0
150,True,Low,7,1.708,left,left,30.0,vegetable,1,2.191175399682834,mane,0.0,High,3.0
151,False,Low,2,1.039,right,left,30.0,carrot,3,1.4820282337168464,easel,1.0,High,3.0
152,True,Low,2,0.975,right,right,30.0,cup,5,1.7500143558572745,coat,2.0,High,3.0
153,True,Low,3,1.343,left,left,30.0,chew,2,1.0170005405525444,suburban,3.0,High,3.0
154,True,Low,1,2.208,right,right,30.0,hat,6,1.947755915171001,chess,4.0,High,3.0
155,False,Low,2,1.727,left,right,30.0,sensitive,5,1.395161034190096,cattle,5.0,High,3.0
156,False,Low,1,1.41,right,left,30.0,refine,3,1.3565468313754536,outlet,6.0,High,3.0
157,NaN,Low,Nan,Nan,right,NaN,30.0,telescope,NaN,Nan,farm,7.0,High,3.0
